City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Kefamenanu,ID,82.65,scattered clouds,-9.4467,124.4781,Sokowindo Losmen
3,Busselton,AU,78.01,overcast clouds,-33.65,115.3333,Observatory Guest House
4,Atuona,PF,79.95,light rain,-9.8,-139.0333,Villa Enata
7,Oranjestad,AW,79.0,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
12,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
15,Georgetown,MY,89.6,scattered clouds,5.4112,100.3354,Cititel Penang
29,Kavieng,PG,84.13,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
35,Qandala,SO,87.57,scattered clouds,11.472000000000001,49.8728,
37,Butaritari,KI,82.81,light rain,3.0707,172.7902,Isles Sunset Lodge
39,Banjar,ID,87.8,few clouds,-8.19,114.9675,The Hamsa Resort
48,Taoudenni,ML,84.25,clear sky,22.6783,-3.9836,
49,Karratha,AU,88.23,clear sky,-20.7377,116.8463,ibis Styles Karratha
52,Rikitea,PF,77.81,scattered clouds,-23.1203,-134.9692,Pension Maro'i
58,Kavaratti,IN,84.42,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
66,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
71,Nishihara,JP,78.8,few clouds,26.1842,127.7558,Minshuku Agaihama
75,Isangel,VU,77.36,overcast clouds,-19.55,169.2667,Tanna Lodge
86,Vung Tau,VN,85.84,broken clouds,10.345999999999998,107.0843,Green hotel
91,Amahai,ID,85.17,clear sky,-3.3333,128.9167,HOTEL ISABELA
96,Mackay,AU,77.0,scattered clouds,-21.15,149.2,International Lodge Motel
99,Port Hedland,AU,87.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
100,Biak,ID,83.14,broken clouds,-0.9131,122.8766,Penginapan Kim
103,Sakakah,SA,78.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
107,Nabire,ID,85.28,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
109,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
110,Alugan,PH,81.97,few clouds,12.2188,125.4808,JM Lodge
111,Guarapari,BR,77.0,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
112,Bosaso,SO,86.0,clear sky,11.2842,49.1816,Red Sea Hotel
121,Sola,VU,82.26,scattered clouds,-13.8833,167.55,Leumerus Bungalows
124,Cockburn Town,TC,78.15,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
128,Geraldton,AU,84.2,few clouds,-28.7667,114.6,Broadwater Mariner Resort
129,Siguiri,GN,81.63,broken clouds,11.6667,-9.5,
139,Puerto El Triunfo,SV,78.8,scattered clouds,13.2833,-88.55,Hotel Jardin
141,Vanimo,PG,83.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
142,Bengkulu,ID,84.99,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
143,Carnarvon,AU,87.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
145,Gamba,GA,76.64,light rain,-2.65,10.0,
147,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
148,Sijunjung,ID,84.65,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
149,Wewak,PG,84.56,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
152,Hithadhoo,MV,82.89,broken clouds,-0.6,73.0833,Scoop Guest House
155,San Policarpo,PH,81.81,few clouds,12.1791,125.5072,JM Lodge
161,Soe,ID,77.32,few clouds,-9.8607,124.28399999999999,Dena Hotel
165,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Casa Tia Villa
166,Nagtipunan,PH,86.18,broken clouds,16.2167,121.6,D' Fields Travellers Place
169,Sambava,MG,76.15,overcast clouds,-14.2667,50.1667,Melrose
172,Sungairaya,ID,85.23,scattered clouds,0.7,108.9,Mess P.Milu
173,Robertsport,LR,81.63,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
177,Hervey Bay,AU,75.99,broken clouds,-25.2986,152.8535,Shelly Bay Resort
184,Huilong,CN,75.0,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
188,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
189,Rokupr,SL,77.16,overcast clouds,8.6717,-12.395,
191,Ugoofaaru,MV,83.64,clear sky,5.6667,73.0,Ungoofaaru Inn
199,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
205,Teahupoo,PF,80.6,light rain,-17.8333,-149.2667,Vanira Lodge
207,Tendukheda,IN,89.6,scattered clouds,23.4,79.55,Raja hotel
210,Waingapu,ID,84.87,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
211,Buchanan,LR,77.0,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
216,Yulara,AU,77.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
217,Port Blair,IN,87.55,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
219,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
222,Tall Kayf,TR,75.2,scattered clouds,37.0833,41.0667,
235,Poum,NC,77.43,scattered clouds,-20.2333,164.0167,Gîte kajeon
239,Bodden Town,KY,79.0,broken clouds,19.2833,-81.25,Will T Place
247,Samarai,PG,85.39,broken clouds,-10.6167,150.6667,Nuli Sapi
248,Port-Gentil,GA,78.8,scattered clouds,-0.7193,8.7815,Fengshui Residence
252,Puerto Colombia,CO,78.8,broken clouds,10.9878,-74.9547,Hotel El Emigrante
253,Dingle,PH,89.42,light rain,10.9995,122.6711,SEGAYA PROPERTY
254,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
258,Auki,SB,83.66,light rain,-8.7676,160.7034,Auki Motel
265,Tiarei,PF,80.6,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
274,Beloha,MG,76.14,clear sky,-25.1667,45.05,
277,Camargo,MX,75.18,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
291,San Patricio,US,75.2,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
293,Srivardhan,IN,88.38,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
295,Alofi,NU,80.6,broken clouds,-19.0595,-169.9187,Taloa Heights
298,Makakilo City,US,80.01,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
300,Ambilobe,MG,77.25,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
302,Gigmoto,PH,82.65,broken clouds,13.7796,124.39,Cj's Travellers Inn
303,Pinotepa Nacional,MX,78.06,broken clouds,16.3167,-98.0167,Hotel Maria Del Carmen
312,Namatanai,PG,84.13,overcast clouds,-3.6667,152.4333,Namatanai Hotel
322,Esperance,AU,87.8,scattered clouds,-33.8667,121.9,Hospitality Esperance
323,Matara,LK,86.31,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
327,Mato Verde,BR,75.15,broken clouds,-15.3972,-42.8664,Quality Hotel
333,Moerai,PF,76.93,broken clouds,-22.4333,-151.3333,Le Manotel
338,Kidal,ML,82.54,clear sky,18.4411,1.4078,
341,Victoria,HK,77.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
344,Port Moresby,PG,87.8,haze,-9.4431,147.1797,Lamana Hotel
356,Ipixuna,BR,77.0,broken clouds,-1.7625,-48.8043,Casa da Oscarina
357,Mamallapuram,IN,89.6,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
371,Cayenne,GF,78.01,mist,4.9333,-52.3333,Hôtel Le Dronmi
372,Lorengau,PG,84.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
377,Buraydah,SA,80.6,clear sky,26.326,43.975,فندق راحة السلام
381,Arlit,NE,86.11,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
389,Faanui,PF,81.48,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
392,Bowen,AU,77.0,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
394,Olinda,BR,77.0,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
395,Caxito,AO,78.8,broken clouds,-8.5785,13.6643,
398,Bubaque,GW,77.11,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
400,Mayumba,GA,77.31,broken clouds,-3.432,10.6554,LIKWALE LODGE
401,Angoche,MZ,75.47,broken clouds,-16.2325,39.9086,Guest House HESADA
403,Mount Isa,AU,89.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
412,Marawi,PH,84.0,overcast clouds,7.9986,124.2928,Derogongan Residence
415,Ambanja,MG,76.78,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
419,Goundam,ML,84.85,broken clouds,16.4145,-3.6708,
422,Isugod,PH,85.87,scattered clouds,9.3408,118.1196,
423,Ternate,ID,85.57,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
424,Komsomolskiy,UZ,75.2,clear sky,40.4272,71.7189,Ikathouse
428,Bridgetown,BB,78.8,few clouds,13.1,-59.6167,Hilton Barbados Resort
430,Maragogi,BR,77.67,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
438,Buala,SB,84.88,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
439,Moindou,NC,77.0,scattered clouds,-21.6924,165.67700000000002,Gite de la RYAWA
444,Lagos,NG,78.8,few clouds,6.5833,3.75,
445,Teavaro,PF,80.6,few clouds,-17.5,-149.7667,SOFITEL KIA ORA MOOREA BEACH RESORT
449,Guasdualito,VE,77.0,scattered clouds,7.2424,-70.7324,Hotel Cuibas
453,Kimbe,PG,85.44,light rain,-5.5502,150.1429,Kimbe Bay Hotel
456,Harper,LR,75.83,overcast clouds,4.375,-7.7169,Screensaver
462,Padang,ID,86.0,scattered clouds,-0.9492,100.3543,Mercure Padang
467,Toamasina,MG,75.2,light rain,-18.1667,49.3833,Hotel H1
468,Doka,SD,83.25,overcast clouds,13.5167,35.7667,
470,Umm Lajj,SA,81.97,clear sky,25.0213,37.2685,Moon light Furnished Units
475,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
477,Kloulklubed,PW,86.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
482,Osmena,PH,82.9,scattered clouds,10.5208,119.9258,Arjemarkyza Lodge
484,Anloga,GH,80.6,few clouds,5.7947,0.8973,Pin Drop Hotel
486,Mora,CM,83.39,overcast clouds,11.0461,14.1401,Hotel Emergence
487,Hirara,JP,78.8,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
499,Vaitape,PF,81.48,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
504,Quatre Cocos,MU,78.01,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
505,Saint-Pierre,RE,80.6,clear sky,-21.3393,55.4781,Lindsey Hôtel
506,Bandarbeyla,SO,83.46,broken clouds,9.4942,50.8122,JABIR HOTEL
507,Douentza,ML,86.09,broken clouds,14.9951,-2.9517,Ogomono Doumbo
511,Shymkent,KZ,75.2,clear sky,42.3,69.6,Orbita Boutique Hotel
514,Say,NE,87.8,clear sky,13.1007,2.3689,
515,Cam Ranh,VN,89.6,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
520,Thinadhoo,MV,82.65,broken clouds,0.5333,72.9333,
525,Sorong,ID,84.92,scattered clouds,-0.8833,131.25,waigo splash hotel
530,Mitsamiouli,KM,78.8,few clouds,-11.3847,43.2844,Foyer ADM
534,Minna,NG,76.19,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
537,Gazanjyk,TM,80.51,clear sky,39.2446,55.5154,Railway motel
539,Dong Hoi,VN,85.96,broken clouds,17.4833,106.6,Nam Long Hotel
540,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
543,Acapulco,MX,79.47,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
544,Bilma,NE,83.28,clear sky,18.6853,12.9164,Expeditions Ténére voyages
548,Iquitos,PE,77.0,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
549,Esna,EG,78.8,haze,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
550,Emerald,AU,82.99,clear sky,-23.5333,148.1667,The Irish Village
556,Morondava,MG,77.16,overcast clouds,-20.2833,44.2833,La Case Bambou
559,Daru,PG,80.29,overcast clouds,-9.0763,143.2092,Daru Lodge
560,Wajir,KE,78.8,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
564,Mareeba,AU,75.2,light intensity drizzle,-17.0,145.4333,Trinity Plains Tourist Park
567,Roebourne,AU,87.84,clear sky,-20.7833,117.1333,Harding River Caravan Park
568,Adrar,MR,75.69,scattered clouds,20.5022,-10.0711,
573,Marzuq,YE,75.74,broken clouds,14.4,46.4667,
578,Kinkala,CG,75.2,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
584,Hambantota,LK,89.6,scattered clouds,6.1241,81.1185,Bungalow 63
585,Meulaboh,ID,86.04,overcast clouds,4.1363,96.1285,Kost Pria
587,Tahta,EG,77.0,clear sky,26.7693,31.5021,El Salam Hotel
589,Manado,ID,77.0,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
599,Conde,BR,75.2,clear sky,-7.2597,-34.9075,Pousada Beija Flor
601,Puerto Carreno,CO,77.77,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
602,Trairi,BR,75.4,few clouds,-3.2778,-39.2689,janelas do mar
613,Salalah,OM,86.0,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
617,Dwarka,IN,86.56,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
623,Denpasar,ID,87.8,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
626,Xichang,CN,77.59,broken clouds,27.8964,102.2634,Xichang ibis Hotel
630,Aquiraz,BR,77.0,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
632,Garissa,KE,81.05,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
635,Grand Gaube,MU,78.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
636,Cotonou,BJ,82.4,light rain,6.3654,2.4183,Novotel Cotonou Orisha
639,Pedernales,DO,77.14,broken clouds,18.0384,-71.744,Hotel Costa Marina
642,Lodwar,KE,81.41,light rain,3.1191,35.5973,Solmar Gracious Hotel
656,Trincomalee,LK,84.25,broken clouds,8.5711,81.2335,Welcombe Hotel
657,Manaure,CO,79.34,scattered clouds,11.7751,-72.4445,Hotel Palaaima
658,Bama,NG,81.55,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
660,Miramar,US,79.0,clear sky,25.9873,-80.2323,Miramar
666,Jurado,CO,77.52,light rain,7.1053,-77.7641,
670,Alice,US,75.2,overcast clouds,27.7523,-98.0697,Holiday Inn Express & Suites Alice
671,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
672,Riyadh,SA,86.0,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
673,Cap Malheureux,MU,78.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
674,Andros Town,BS,75.2,clear sky,24.7,-77.7667,Hanks place
676,Maumere,ID,84.7,scattered clouds,-8.6199,122.2111,Sylvia Hotel
680,Guatire,VE,77.0,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
696,Eyl,SO,84.7,broken clouds,7.9803,49.8164,Amiin Hotel
697,Manggar,ID,86.76,few clouds,-2.8833,108.2667,Guest Hotel
700,Mecca,SA,87.57,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
718,Gorontalo,ID,87.93,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
719,Omboue,GA,78.15,broken clouds,-1.5746,9.2618,Hotel Olako
